Nome do Repositório,Estrelas,Razão Fechamento Issues:
bark,34956,53.61%
tldraw,34934,78.76%
shadowsocks-android,34920,97.87%
lottie-android,34904,98.66%
wtfjs,34876,85.71%
sheetjs,34871,95.09%
devdocs,34822,85.27%
nativefier,34799,79.39%
hackathon-starter,34789,98.92%
MockingBird,34776,46.97%
bevy,34755,66.79%
aria2,34705,43.81%
quivr,34648,93.69%
llama_index,34573,86.56%
glide,34548,88.32%
955.WLB,34544,31.15%
TaskMatrix,34534,38.18%
node-v0.x-archive,34454,100.00%
the-way-to-go_ZH_CN,34450,0.00%
tesseract.js,34445,95.78%
awesome-react-native,34423,48.61%
DeepSpeed,34405,62.90%
carbon,34394,89.99%
gym,34387,94.72%
date-fns,34335,70.87%
tmux,34200,98.50%
photoprism,34191,79.80%
interview,34178,64.52%
streamlit,34151,80.02%
Ryujinx,34149,72.43%
insomnia,34115,81.88%
lapce,34092,61.22%
googletest,34079,87.93%
termux-app,34066,87.64%
trpc,34062,91.51%
TrafficMonitor,34016,38.47%
caffe,34010,81.24%
novu,33995,81.25%
clipboard.js,33956,98.56%
whisper.cpp,33896,50.20%
typeorm,33887,70.59%
v2rayNG,33843,99.08%
formik,33823,69.23%
vim-plug,33802,93.71%
AI-For-Beginners,33777,82.88%
12306,33729,67.44%
pandoc,33680,86.13%
google-research,33655,26.44%
gold-miner,33632,99.91%
metasploit-framework,33603,93.28%
shadowsocks,33542,0.00%
Files,33510,95.14%
compose,33397,96.98%
AFNetworking,33333,0.00%
HanLP,33327,99.36%
zig,33317,73.89%
brackets,33265,72.97%
awesome-javascript,33240,96.63%
netty,33217,91.28%
AndroidUtilCode,33189,81.29%
Summer2025-Internships,33167,99.91%
cli,33164,82.03%
fd,33090,88.76%
react-beautiful-dnd,33054,65.15%
awesome-compose,33017,34.82%
jieba,32981,26.77%
REKCARC-TSC-UHT,32975,96.77%
EasySpider,32969,82.29%
gulp,32960,98.76%
Awesome-Design-Tools,32957,73.53%
halo,32952,90.84%
XX-Net,32946,40.61%
immutable-js,32911,91.61%
jellyfin,32867,92.21%
appsmith,32837,81.91%
TTS,32835,94.03%
daisyui,32793,94.96%
spring-boot-demo,32763,44.24%
ray,32723,81.26%
fiber,32686,93.72%
marked,32627,98.52%
zxing,32573,99.45%
LeetCode-Go,32568,81.58%
zod,32564,79.99%
WeChatMsg,32453,87.44%
slidev,32423,93.98%
ijkplayer,32351,47.42%
awesome-shell,32329,38.60%
helix,32306,86.63%
ShadowsocksX-NG,32295,77.22%
material-design-lite,32279,82.93%
ccxt,32277,91.59%
carbon-lang,32264,82.41%
husky,32193,96.81%
expo,32152,96.92%
typst,32148,74.97%
gitness,32038,92.81%
framework,32016,99.96%
JavaScript,31970,97.92%
solid,31913,91.58%
easyexcel,31766,89.17%
penpot,31699,78.93%
sqlmap,31697,99.08%
fastify,31685,96.44%
logseq,31668,79.78%
gradio,31667,88.93%
android-open-project,31592,88.10%
awesome-awesomeness,31568,76.47%
RSSHub,31564,94.34%
GitHubDaily,31532,38.13%
run,31393,84.46%
beego,31339,99.76%
