Nome do Repositório,Estrelas,Releases
nps,30131,59
portainer,30130,117
swr,30125,115
dotfiles,30101,0
faiss,30081,16
ruff,30041,320
fairseq,30040,16
selenium,30038,96
AnotherRedisDesktopManager,30031,49
HEAD,29970,0
lottie-web,29967,0
jq,29919,13
C-Plus-Plus,29879,0
nacos,29851,69
autogen,29816,58
detectron2,29778,10
vue-cli,29756,177
linux-insides,29732,0
cockroach,29721,0
pytorch-tutorial,29705,0
HowToLiveLonger,29663,0
foundation-sites,29656,78
awesome-docker,29587,1
jax,29572,109
memos,29569,67
symfony,29556,507
jsoncrack.com,29526,20
spaCy,29516,125
slate,29507,172
floating-ui,29489,445
ControlNet,29485,0
ChatTTS,29470,1
phantomjs,29441,0
react-boilerplate,29439,16
my-tv,29431,72
calculator,29425,0
layui,29405,124
lede,29397,6
sequelize,29373,478
project-guidelines,29360,0
webtorrent,29349,191
gpt-pilot,29337,0
chatgpt-on-wechat,29320,57
leakcanary,29289,43
stanford_alpaca,29282,0
Sortable,29281,26
LLaMA-Factory,29278,30
interactive-coding-challenges,29277,0
echo,29277,104
es6features,29207,0
500lines,29200,0
maybe,29198,15
Hover,29182,10
COVID-19,29139,0
etcher,29094,280
standard,29041,5
minikube,29037,148
upscayl,29036,27
apollo,29020,40
mattermost,28971,601
milvus,28964,86
awesome-remote-job,28941,0
ShareX,28928,79
Flowise,28927,48
pnpm,28909,943
mmdetection,28887,53
AI-Expert-Roadmap,28884,0
jsPDF,28883,32
hutool,28855,144
uppy,28838,113
particles.js,28811,6
remote-jobs,28776,0
v2ray-core,28750,84
awesome-macos-command-line,28735,0
OpenAPI-Specification,28721,10
polars,28711,173
sharp,28703,88
remix,28696,146
OpenBB,28694,37
swift-algorithm-club,28685,0
go-zero,28672,111
algo,28598,2
Awesome,28589,0
todomvc,28585,6
ToolJet,28525,234
awesome-python-cn,28496,0
fabric.js,28493,150
influxdb,28472,86
composer,28464,200
vuex,28395,51
postcss,28391,253
linkedin-skill-assessments-quizzes,28358,1
slick,28351,48
Mr.-Ranedeer-AI-Tutor,28351,3
spotube,28300,33
android_guides,28290,0
weekly,28281,193
aseprite,28278,103
YesPlayMusic,28273,30
canal,28261,30
cheerio,28257,58
tqdm,28203,128
RevokeMsgPatcher,28196,18
kafka,28178,0
consul,28177,178
CyberChef,28164,446
SpringAll,28154,0
async,28142,7
lighthouse,28138,112
python-guide,28112,0
rocksdb,28108,192
backbone,28103,0
rufus,28099,80
GPTs,28077,0
django-rest-framework,28034,18
css-protips,28031,0
machine-learning-for-software-engineers,28018,0
ChatGPT,27997,277
OpenVoice,27995,0
editor.js,27993,88
coolify,27972,517
chatbot-ui,27900,0
react-spring,27898,49
folly,27868,202
druid,27849,51
pytorch-lightning,27797,160
the-super-tiny-compiler,27765,0
alpine,27747,129
spring-cloud-alibaba,27736,42
HEU_KMS_Activator,27667,36
freqtrade,27654,87
