Nome do Repositório,Estrelas,Tempo Desde a Ultima Atualizacao
LLaMA-Factory,29491,0.93
my-tv,29456,1.47
react-boilerplate,29445,3.47
phantomjs,29442,43.91
calculator,29440,2.21
chatgpt-on-wechat,29419,5.02
layui,29414,4.19
lede,29413,3.32
gpt-pilot,29396,6.21
sequelize,29385,4.56
webtorrent,29372,1.38
project-guidelines,29365,2.83
echo,29319,0.29
Sortable,29300,6.37
leakcanary,29294,23.40
stanford_alpaca,29292,11.54
interactive-coding-challenges,29283,0.59
OpenBB,29275,1.83
maybe,29254,0.08
es6features,29213,23.48
500lines,29198,13.90
Hover,29186,7.59
etcher,29144,1.50
COVID-19,29136,1.91
upscayl,29118,2.75
Flowise,29074,0.35
minikube,29062,0.31
standard,29040,14.11
milvus,29032,1.30
apollo,29023,23.15
mattermost,29014,9.18
Deep-Live-Cam,29010,0.02
pnpm,28974,0.87
awesome-remote-job,28972,5.81
ShareX,28959,1.44
mmdetection,28916,2.60
jsPDF,28911,0.08
AI-Expert-Roadmap,28889,3.13
hutool,28872,0.79
uppy,28850,24.36
remote-jobs,28837,3.45
particles.js,28826,0.87
v2ray-core,28795,1.63
polars,28793,1.18
awesome-macos-command-line,28748,1.08
sharp,28743,1.76
OpenAPI-Specification,28742,3.44
remix,28727,0.11
go-zero,28696,3.48
swift-algorithm-club,28696,0.85
Awesome,28635,3.46
algo,28608,1.87
todomvc,28579,4.14
ToolJet,28568,0.03
fabric.js,28537,3.99
awesome-python-cn,28516,4.28
influxdb,28506,1.72
composer,28469,7.65
postcss,28410,21.30
vuex,28404,0.85
spotube,28389,0.24
YesPlayMusic,28383,0.21
Mr.-Ranedeer-AI-Tutor,28381,2.44
linkedin-skill-assessments-quizzes,28357,0.87
slick,28354,2.43
aseprite,28353,0.05
RevokeMsgPatcher,28304,3.03
cheerio,28304,0.38
android_guides,28292,1.49
weekly,28291,2.47
canal,28276,4.45
tqdm,28228,4.89
CyberChef,28227,1.17
kafka,28208,1.82
consul,28187,5.01
SpringAll,28173,2.95
coolify,28172,0.08
async,28148,1.65
lighthouse,28147,2.51
rocksdb,28138,1.20
rufus,28133,1.97
python-guide,28125,0.21
GPTs,28115,7.91
backbone,28100,34.26
OpenVoice,28069,2.36
django-rest-framework,28050,2.62
css-protips,28047,2.20
editor.js,28042,3.19
machine-learning-for-software-engineers,28027,4.27
ChatGPT,27998,6.41
chatbot-ui,27951,1.98
react-spring,27910,1.71
folly,27880,2.02
druid,27859,3.51
pytorch-lightning,27819,1.91
freqtrade,27782,1.27
alpine,27779,2.55
the-super-tiny-compiler,27773,4.17
HEU_KMS_Activator,27744,3.46
spring-cloud-alibaba,27743,0.50
ultralytics,27643,0.91
legado,27631,1.82
mpv,27614,3.79
llvm-project,27609,0.07
servo,27601,0.53
handson-ml2,27573,1.73
Data-Science-For-Beginners,27556,1.91
nginxconfig.io,27541,1.52
Clone-Wars,27524,3.23
react-select,27507,4.38
Charts,27487,1.33
Real-ESRGAN,27474,0.22
JavaScript30,27465,2.14
croc,27447,0.47
immer,27436,0.43
mobx,27430,12.96
CheatSheetSeries,27425,5.21
numpy,27409,0.79
waifu2x,27402,19.72
k3s,27385,0.63
Daily-Interview-Question,27369,1.08
backstage,27368,2.75
docsify,27294,10.51
yapi,27293,32.60
underscore,27287,2.96
comprehensive-rust,27280,0.25
xxl-job,27255,0.36
vhr,27251,7.99
LLM101n,27232,0.32
netron,27231,1.59
MonitorControl,27142,0.05
weui,27132,2.98
applied-ml,27109,2.15
ResumeSample,27106,5.58
JCSprout,27068,2.95
Complete-Python-3-Bootcamp,27052,1.57
plane,27049,0.04
data-science-ipython-notebooks,27034,1.91
refine,27000,0.67
legacy-homebrew,26994,21.94
react-three-fiber,26974,3.10
directus,26911,4.24
reverse-interview,26909,0.09
os-tutorial,26867,3.55
gitbook,26867,1.56
outline,26858,1.33
mongoose,26848,1.38
xstate,26792,0.37
Faker,26786,3.03
python-fire,26784,2.98
codemirror5,26748,24.89
roop,26732,0.06
angular-cli,26714,2.22
hangzhou_house_knowledge,26712,0.54
helm,26691,5.30
qBittorrent,26678,1.72
viper,26678,2.35
rethinkdb,26675,5.88
trilium,26663,0.30
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26637,35.88
lux,26626,1.97
ace,26623,2.79
mediapipe,26598,1.01
gitflow,26593,23.67
dokku,26566,6.52
DevToys,26555,4.38
Python-programming-exercises,26531,2.55
surrealdb,26522,0.97
commander.js,26517,1.00
server,26484,0.55
kit,26451,10.49
ruoyi-vue-pro,26393,2.91
aos,26391,2.14
hosts,26386,1.25
tiptap,26362,3.66
90DaysOfDevOps,26335,2.24
ink,26327,4.08
bulletproof-react,26280,1.81
k9s,26277,2.13
plyr,26256,3.26
swagger-ui,26237,3.52
Detectron,26235,0.48
bubbletea,26231,0.24
tokio,26230,9.75
dnSpy,26224,5.77
react-virtualized,26224,4.16
nodemon,26209,9.94
coder2gwy,26198,2.83
tuning_playbook,26193,2.11
stb,26165,0.15
miaosha,26155,19.22
glances,26138,0.22
vagrant,26132,4.46
UTM,26077,0.24
mindsdb,26065,0.86
fastai,26035,1.22
nprogress,26033,3.53
the_silver_searcher,26022,11.10
xgboost,26019,4.61
Tvlist-awesome-m3u-m3u8,26009,2.24
Web,26001,1.55
mongo,25987,0.26
tinygrad,25899,1.87
mantine,25888,0.83
select2,25866,6.82
turborepo,25857,4.31
redash,25836,4.35
fetch,25805,3.22
fastText,25800,13.94
paper-reading,25798,2.40
cmder,25788,5.10
hacker-laws,25723,13.93
