Nome do Repositório,Estrelas,Linguagem Principal
Summer2025-Internships,33281,Não especificada
brackets,33266,JavaScript
awesome-javascript,33258,Não especificada
cli,33213,Python
netty,33207,Java
AndroidUtilCode,33189,Java
fd,33140,Rust
awesome-compose,33126,HTML
EasySpider,33095,JavaScript
react-beautiful-dnd,33083,JavaScript
Awesome-Design-Tools,33028,JavaScript
REKCARC-TSC-UHT,32999,HTML
jieba,32997,Python
halo,32987,Java
jellyfin,32964,C#
gulp,32959,JavaScript
XX-Net,32948,Python
TTS,32948,Python
immutable-js,32910,TypeScript
appsmith,32855,TypeScript
daisyui,32855,Svelte
spring-boot-demo,32776,Java
ray,32769,Python
fiber,32760,Go
marked,32656,JavaScript
zod,32634,TypeScript
LeetCode-Go,32616,Go
zxing,32588,Java
WeChatMsg,32576,Python
slidev,32461,TypeScript
awesome-shell,32381,Não especificada
helix,32370,Rust
ijkplayer,32365,C
ccxt,32308,Python
ShadowsocksX-NG,32307,Swift
typst,32286,Rust
material-design-lite,32282,HTML
carbon-lang,32267,C++
expo,32252,TypeScript
husky,32215,JavaScript
gitness,32053,Go
framework,32039,PHP
JavaScript,31986,JavaScript
solid,31944,TypeScript
penpot,31938,Clojure
easyexcel,31873,Java
logseq,31733,Clojure
gradio,31733,Python
fastify,31723,JavaScript
sqlmap,31720,Python
RSSHub,31608,TypeScript
android-open-project,31597,Não especificada
awesome-awesomeness,31574,Ruby
GitHubDaily,31571,Não especificada
GPT-SoVITS,31539,Python
run,31413,Não especificada
nushell,31351,Rust
beego,31347,Go
Coursera-ML-AndrewNg-Notes,31320,HTML
system-design,31294,Não especificada
certbot,31249,Python
pytorch-image-models,31228,Python
AgentGPT,31190,TypeScript
chatgpt-web,31185,Vue
graphql-engine,31018,TypeScript
jQuery-File-Upload,30965,PHP
engineering-blogs,30961,Ruby
poetry,30900,Python
NewPipe,30881,Java
swc,30850,Rust
Python,30847,Python
Langchain-Chatchat,30833,TypeScript
linux-command,30805,Markdown
