Nome do Repositório,Estrelas,Pull Requests Aceitas
aspnetcore,35078,15981
koa,35071,493
bark,35037,19
tldraw,34989,2160
shadowsocks-android,34941,253
lottie-android,34917,677
wtfjs,34899,124
sheetjs,34881,106
devdocs,34844,749
aria2,34836,252
bevy,34819,3460
nativefier,34814,261
MockingBird,34795,77
hackathon-starter,34788,323
llama_index,34681,5099
glide,34558,538
955.WLB,34548,18
TaskMatrix,34536,21
tesseract.js,34486,175
DeepSpeed,34466,2320
the-way-to-go_ZH_CN,34448,592
node-v0.x-archive,34448,218
awesome-react-native,34439,912
carbon,34407,659
gym,34406,999
date-fns,34365,1067
photoprism,34239,644
tmux,34234,1
streamlit,34229,4007
interview,34224,35
Ryujinx,34212,2965
termux-app,34191,149
insomnia,34179,2763
trpc,34125,3221
googletest,34116,808
lapce,34114,1089
TrafficMonitor,34092,43
novu,34027,4009
caffe,34015,1087
whisper.cpp,33992,523
v2rayNG,33960,245
clipboard.js,33959,117
typeorm,33906,1969
AI-For-Beginners,33832,158
formik,33831,821
vim-plug,33818,175
12306,33733,31
pandoc,33725,1570
google-research,33693,29
metasploit-framework,33636,10683
gold-miner,33627,3563
Files,33554,5027
shadowsocks,33546,70
compose,33433,3097
zig,33406,7861
HanLP,33355,78
AFNetworking,33336,710
Summer2025-Internships,33281,1668
brackets,33266,4332
awesome-javascript,33258,377
cli,33213,399
netty,33207,3526
AndroidUtilCode,33189,88
fd,33140,580
awesome-compose,33126,149
EasySpider,33095,32
react-beautiful-dnd,33083,527
Awesome-Design-Tools,33028,283
REKCARC-TSC-UHT,32999,156
jieba,32997,96
halo,32987,2128
jellyfin,32964,4139
gulp,32959,405
XX-Net,32948,362
TTS,32948,467
immutable-js,32910,511
appsmith,32855,12168
daisyui,32855,283
spring-boot-demo,32776,15
ray,32769,22925
fiber,32760,1456
marked,32656,1381
zod,32634,493
LeetCode-Go,32616,174
zxing,32588,311
WeChatMsg,32576,62
slidev,32461,572
awesome-shell,32381,307
helix,32370,3570
ijkplayer,32365,35
ccxt,32308,11376
ShadowsocksX-NG,32307,63
typst,32286,1187
material-design-lite,32282,655
carbon-lang,32267,2899
expo,32252,13721
husky,32215,256
gitness,32053,1022
framework,32039,15269
JavaScript,31986,787
solid,31944,346
penpot,31938,2963
easyexcel,31873,188
logseq,31733,2924
gradio,31733,3652
fastify,31723,2746
sqlmap,31720,166
RSSHub,31608,8924
android-open-project,31597,204
awesome-awesomeness,31574,197
GitHubDaily,31571,3
GPT-SoVITS,31539,252
run,31413,172
nushell,31351,6630
beego,31347,1294
Coursera-ML-AndrewNg-Notes,31320,13
system-design,31294,11
certbot,31249,3755
pytorch-image-models,31228,365
AgentGPT,31190,539
chatgpt-web,31185,159
graphql-engine,31018,2109
jQuery-File-Upload,30965,119
engineering-blogs,30961,681
poetry,30900,2076
NewPipe,30881,1555
swc,30850,4800
Python,30847,1474
Langchain-Chatchat,30833,596
linux-command,30805,325
vault,30777,18738
zsh-autosuggestions,30770,112
awesome-php,30768,435
clash-verge-rev,30720,101
cal.com,30712,7270
openpose,30678,174
OpenHands,30655,1786
Blog,30641,3
MS-DOS,30581,37
rxjs,30554,2587
modern-unix,30537,10
leetcode,30504,3082
vimrc,30501,107
yew,30442,1696
spacedrive,30345,1824
p3c,30338,62
ruff,30323,7213
learnGitBranching,30319,566
How-To-Ask-Questions-The-Smart-Way,30311,97
libpku,30306,22
html2canvas,30302,186
NeteaseCloudMusicApi,30271,292
serenity,30253,18543
portainer,30191,4697
nps,30152,74
spring-boot-examples,30150,7
faiss,30144,136
lottie-web,30139,133
swr,30138,763
dotfiles,30108,44
selenium,30064,2108
AnotherRedisDesktopManager,30063,139
fairseq,30052,229
HEAD,29973,86
jq,29965,542
autogen,29949,1164
C-Plus-Plus,29911,594
nacos,29873,2778
detectron2,29811,0
vue-cli,29757,1258
linux-insides,29742,575
cockroach,29740,57384
pytorch-tutorial,29726,28
jsoncrack.com,29701,74
HowToLiveLonger,29682,13
memos,29651,1455
foundation-sites,29651,2950
ChatTTS,29644,189
awesome-docker,29624,915
jax,29615,10269
symfony,29572,22589
spaCy,29545,3555
slate,29522,1838
ControlNet,29520,5
floating-ui,29514,1030
LLaMA-Factory,29491,186
my-tv,29456,11
react-boilerplate,29445,715
phantomjs,29442,562
calculator,29440,853
chatgpt-on-wechat,29419,211
layui,29414,483
lede,29413,1956
gpt-pilot,29396,395
sequelize,29385,4732
webtorrent,29372,892
project-guidelines,29365,113
echo,29319,569
Sortable,29300,246
leakcanary,29294,918
stanford_alpaca,29292,6
interactive-coding-challenges,29283,176
OpenBB,29275,3860
maybe,29255,526
es6features,29213,41
500lines,29198,175
Hover,29186,23
etcher,29144,1722
COVID-19,29136,2152
upscayl,29118,64
Flowise,29074,800
minikube,29062,7984
standard,29040,412
milvus,29032,18974
apollo,29023,1381
mattermost,29014,16540
Deep-Live-Cam,29006,21
pnpm,28974,2215
awesome-remote-job,28972,557
ShareX,28959,738
mmdetection,28916,2359
jsPDF,28910,700
AI-Expert-Roadmap,28889,13
hutool,28872,410
uppy,28850,2835
remote-jobs,28837,1202
