Nome do Repositório,Estrelas,Idade (anos)
awesome-react-native,34423,9.40
DeepSpeed,34404,4.57
carbon,34393,7.18
gym,34387,8.31
date-fns,34334,9.87
tmux,34199,9.22
photoprism,34190,6.56
interview,34178,6.53
streamlit,34149,4.99
Ryujinx,34148,6.54
insomnia,34116,8.33
lapce,34092,6.54
googletest,34078,9.07
termux-app,34066,8.83
trpc,34062,4.09
TrafficMonitor,34016,7.06
caffe,34010,10.94
novu,33995,2.98
clipboard.js,33956,8.92
whisper.cpp,33895,1.90
typeorm,33887,8.47
v2rayNG,33843,5.27
formik,33822,7.18
vim-plug,33802,10.94
AI-For-Beginners,33777,3.47
12306,33729,7.26
pandoc,33679,14.42
google-research,33653,5.88
gold-miner,33631,8.79
metasploit-framework,33603,12.97
shadowsocks,33541,12.33
Files,33510,5.63
compose,33394,10.70
AFNetworking,33333,13.22
HanLP,33326,9.86
zig,33317,9.04
brackets,33265,12.70
awesome-javascript,33240,10.14
netty,33217,13.78
AndroidUtilCode,33189,8.06
Summer2025-Internships,33166,4.24
cli,33164,12.48
fd,33090,7.28
react-beautiful-dnd,33052,7.03
awesome-compose,33015,4.52
jieba,32980,11.89
REKCARC-TSC-UHT,32975,5.38
EasySpider,32967,4.09
gulp,32960,11.13
Awesome-Design-Tools,32957,5.52
halo,32952,6.42
XX-Net,32946,9.60
immutable-js,32911,10.14
jellyfin,32868,5.70
appsmith,32835,4.14
TTS,32833,4.25
daisyui,32793,3.73
spring-boot-demo,32762,6.78
ray,32723,7.82
fiber,32686,4.59
marked,32627,13.08
zxing,32573,12.86
LeetCode-Go,32568,7.09
zod,32564,4.45
WeChatMsg,32453,1.61
slidev,32422,3.33
ijkplayer,32351,11.21
awesome-shell,32329,10.12
helix,32304,4.22
ShadowsocksX-NG,32295,8.19
material-design-lite,32279,9.60
ccxt,32277,7.27
carbon-lang,32263,4.31
husky,32193,10.16
expo,32149,8.01
typst,32148,4.91
gitness,32039,10.53
framework,32015,11.61
JavaScript,31970,7.10
solid,31913,6.32
easyexcel,31766,6.54
penpot,31696,8.64
sqlmap,31696,12.15
fastify,31684,7.89
logseq,31667,4.25
gradio,31667,5.67
android-open-project,31592,10.62
awesome-awesomeness,31568,10.12
RSSHub,31564,6.38
GitHubDaily,31532,5.64
run,31392,2.36
beego,31339,12.48
nushell,31321,5.28
GPT-SoVITS,31317,0.60
Coursera-ML-AndrewNg-Notes,31301,6.79
certbot,31236,9.77
system-design,31222,2.02
pytorch-image-models,31183,5.55
chatgpt-web,31160,1.53
AgentGPT,31148,1.37
graphql-engine,31010,6.17
jQuery-File-Upload,30964,13.72
poetry,30850,6.48
swc,30834,6.66
Python,30829,12.72
NewPipe,30827,8.96
engineering-blogs,30773,9.19
linux-command,30758,7.77
vault,30756,9.49
Langchain-Chatchat,30749,1.39
awesome-php,30747,10.74
zsh-autosuggestions,30733,10.82
openpose,30655,7.32
cal.com,30647,3.41
Blog,30632,7.44
MS-DOS,30580,6.15
rxjs,30535,9.43
modern-unix,30528,3.61
vimrc,30487,12.23
leetcode,30442,5.93
yew,30424,6.68
p3c,30330,7.16
learnGitBranching,30303,12.02
libpku,30301,5.74
How-To-Ask-Questions-The-Smart-Way,30293,9.40
html2canvas,30287,13.10
NeteaseCloudMusicApi,30270,8.16
OpenHands,30258,0.44
spacedrive,30253,2.90
clash-verge-rev,30248,0.75
serenity,30225,5.72
spring-boot-examples,30141,7.79
nps,30131,5.79
portainer,30130,8.25
swr,30125,4.81
dotfiles,30101,12.96
faiss,30080,7.53
ruff,30041,2.03
fairseq,30040,6.98
selenium,30038,11.60
AnotherRedisDesktopManager,30031,5.62
HEAD,29970,8.33
lottie-web,29967,9.50
jq,29919,12.09
C-Plus-Plus,29879,8.10
nacos,29851,6.18
autogen,29816,1.01
detectron2,29777,4.96
vue-cli,29756,8.65
linux-insides,29732,9.63
cockroach,29721,10.54
pytorch-tutorial,29705,7.45
HowToLiveLonger,29663,2.35
foundation-sites,29656,12.85
awesome-docker,29587,9.91
jax,29572,5.82
memos,29568,2.70
symfony,29556,14.63
jsoncrack.com,29525,2.55
spaCy,29516,10.13
slate,29507,8.18
floating-ui,29489,8.39
ControlNet,29485,1.55
ChatTTS,29470,0.23
phantomjs,29441,13.65
react-boilerplate,29439,9.50
my-tv,29430,0.71
calculator,29425,5.56
layui,29405,8.91
lede,29397,6.95
sequelize,29373,14.08
project-guidelines,29360,7.14
webtorrent,29349,10.85
gpt-pilot,29337,1.01
chatgpt-on-wechat,29320,2.04
leakcanary,29289,9.31
stanford_alpaca,29282,1.45
Sortable,29281,10.67
LLaMA-Factory,29278,1.23
interactive-coding-challenges,29277,9.31
echo,29277,9.47
es6features,29207,10.47
500lines,29200,10.80
maybe,29198,0.64
Hover,29182,10.63
COVID-19,29139,4.54
etcher,29094,8.82
standard,29041,9.57
minikube,29037,8.35
upscayl,29035,2.06
apollo,29020,8.46
mattermost,28971,9.18
milvus,28963,4.93
awesome-remote-job,28941,9.63
ShareX,28928,10.87
Flowise,28925,1.39
pnpm,28909,8.56
mmdetection,28887,6.00
AI-Expert-Roadmap,28884,3.82
jsPDF,28883,14.70
hutool,28855,10.35
uppy,28838,8.76
particles.js,28811,9.95
remote-jobs,28775,8.85
v2ray-core,28750,5.35
awesome-macos-command-line,28735,8.91
OpenAPI-Specification,28721,10.47
polars,28711,4.27
sharp,28703,11.00
remix,28696,3.82
OpenBB,28692,3.67
swift-algorithm-club,28685,8.57
go-zero,28672,4.04
algo,28598,8.27
Awesome,28589,8.22
todomvc,28585,13.22
ToolJet,28525,3.39
awesome-python-cn,28496,8.80
fabric.js,28493,14.20
